"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-19","13.20",,"0.56","0.0",,"41","42","39","   30","   90","23.0","29.1","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-20","15.66",,"0.02","0.0",,"48","68","38","  240","  220","23.9","44.1","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-21","14.09",,"0.00","0.0",,"49","57","31","  290","  290","25.9","36.9",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-22","11.41",,"0.00","0.0",,"31","33","25","   20","   20","17.0","21.9",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-23","15.21",,"1.38","0.0",,"33","41","28","   90","   90","29.1","36.0","    1",,,,,,"    1"
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-24","12.08",,"0.35","0.0",,"40","49","34","   10","  360","30.0","35.1","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-25","13.87",,"0.00","0.0",,"40","43","37","   70","   50","21.0","25.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-26","11.41",,"0.00","0.0",,"39","46","32","   20","   30","17.0","21.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-27","12.75",,"0.01","0.0",,"51","61","43","  320","  290","25.9","35.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-28","6.49",,"0.08","0.0",,"45","48","36","  190","  190","16.1","19.9",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-29","16.11",,"0.74","0.0",,"42","43","39","   50","   90","23.9","30.0","    1",,"    1",,"    1",,"    1"
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-30","15.43",,"0.08","0.0",,"40","43","37","   40","   40","23.0","29.1","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-31","12.30",,"0.00","0.0",,"36","40","33","   30","   50","19.9","23.9","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-01","12.08",,"0.00","0.0",,"36","43","31","   30","  360","21.9","27.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-02","17.67",,"0.13","0.0",,"42","47","39","  310","  320","25.9","36.9","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-03","25.50",,"0.83","0.0",,"43","45","41","   30","   30","38.0","49.0","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-04","13.20",,"0.04","0.0",,"41","44","39","   30","   30","30.0","36.0","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-05","8.28",,"0.00","0.0",,"43","54","39","  110","  200","16.1","18.1",,,,,,,
